game_id,Team,Date,SeasonEnd,Type,Place,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,TF,PTS,OppPTS,has_lines,favorite,ML,Spread,Total
110,Indiana,2012-12-21,2013,REG,H,28,55,0.509,22,43,0.512,6,12,0.5,26,27,0.963,11,28,39,11,6,5,15,16,88,52,True,1.0,-67500.0,-33.0,145.0
111,Indiana,2012-12-28,2013,REG,H,29,57,0.509,18,32,0.563,11,25,0.44,24,31,0.774,8,29,37,21,5,7,15,20,93,59,True,1.0,,-36.0,152.0
112,Indiana,2012-12-31,2013,REG,A,26,65,0.4,22,51,0.431,4,14,0.286,13,18,0.722,13,32,45,16,5,3,15,18,69,65,True,1.0,-275.0,-7.0,153.0
113,Indiana,2013-01-07,2013,REG,A,22,42,0.524,14,26,0.538,8,16,0.5,22,34,0.647,6,25,31,14,10,2,17,18,74,51,True,1.0,-1400.0,-16.0,139.0
114,Indiana,2013-01-12,2013,REG,H,27,53,0.509,19,34,0.559,8,19,0.421,26,40,0.65,13,17,30,14,9,3,15,15,88,81,True,1.0,-355.0,-8.0,146.0
115,Indiana,2013-01-15,2013,REG,H,20,54,0.37,17,42,0.405,3,12,0.25,16,19,0.842,13,22,35,7,4,0,11,16,59,64,True,1.0,-700.0,-11.0,133.0
116,Indiana,2013-01-20,2013,REG,A,20,42,0.476,16,33,0.485,4,9,0.444,23,31,0.742,10,23,33,10,4,2,6,20,67,59,True,1.0,-990.0,-13.0,138.0
117,Indiana,2013-01-23,2013,REG,H,20,44,0.455,9,24,0.375,11,20,0.55,21,37,0.568,13,24,37,14,8,4,18,19,72,49,True,1.0,-18125.0,-24.0,139.0
118,Indiana,2013-01-27,2013,REG,H,27,53,0.509,19,32,0.594,8,21,0.381,13,20,0.65,8,19,27,10,9,4,16,13,75,70,True,1.0,-500.0,-11.0,136.0
119,Indiana,2013-01-30,2013,REG,A,33,67,0.493,21,42,0.5,12,25,0.48,19,20,0.95,15,19,34,21,10,5,8,19,97,60,True,1.0,-340.0,-8.0,136.0
120,Indiana,2013-02-02,2013,REG,H,26,50,0.52,19,32,0.594,7,18,0.389,22,25,0.88,8,28,36,13,6,5,16,14,81,73,True,1.0,-235.0,-6.0,146.0
121,Indiana,2013-02-07,2013,REG,A,25,50,0.5,16,33,0.485,9,17,0.529,13,14,0.929,8,20,28,16,5,4,14,15,72,74,True,1.0,-330.0,-7.0,150.0
