G,Date,season_end,Type,TEAM,Opponent,Conf,Tm,Opp,Won,OT,W,L,Streak,Arena
28,2019-02-24,2019,REG,Minnesota,Rutgers,Big Ten,64,68,False,,17,11,L 2,Louis Brown Athletic Center
29,2019-02-28,2019,REG,Minnesota,Northwestern,Big Ten,62,50,True,,18,11,W 1,Welsh-Ryan Arena
30,2019-03-05,2019,REG,Minnesota,Purdue,Big Ten,73,69,True,,19,11,W 2,Williams Arena
31,2019-03-08,2019,REG,Minnesota,Maryland,Big Ten,60,69,False,,19,12,L 1,Xfinity Center
32,2019-03-14,2019,CTOURN,Minnesota,Penn State,Big Ten,77,72,True,OT,20,12,W 1,United Center
33,2019-03-15,2019,CTOURN,Minnesota,Purdue,Big Ten,75,73,True,,21,12,W 2,United Center
34,2019-03-16,2019,CTOURN,Minnesota,Michigan,Big Ten,49,76,False,,21,13,L 1,United Center
35,2019-03-21,2019,NCAA,Minnesota,Louisville,ACC,86,76,True,,22,13,W 1,Wells Fargo Arena
36,2019-03-23,2019,NCAA,Minnesota,Michigan State,Big Ten,50,70,False,,22,14,L 1,Wells Fargo Arena
1,2019-11-05,2020,REG,Minnesota,Cleveland State,Horizon,85,50,True,,1,0,W 1,Williams Arena
2,2019-11-09,2020,REG,Minnesota,Oklahoma,Big 12,62,71,False,,1,1,L 1,Sanford Pentagon
3,2019-11-12,2020,REG,Minnesota,Butler,Big East,56,64,False,,1,2,L 2,Hinkle Fieldhouse
4,2019-11-15,2020,REG,Minnesota,Utah,Pac-12,69,73,False,,1,3,L 3,Jon M. Huntsman Center
5,2019-11-21,2020,REG,Minnesota,Central Michigan,MAC,82,57,True,,2,3,W 1,Williams Arena
6,2019-11-24,2020,REG,Minnesota,North Dakota,Summit,79,56,True,,3,3,W 2,Williams Arena
7,2019-11-29,2020,REG,Minnesota,DePaul,Big East,68,73,False,,3,4,L 1,Williams Arena
8,2019-12-02,2020,REG,Minnesota,Clemson,ACC,78,60,True,,4,4,W 1,Williams Arena
9,2019-12-09,2020,REG,Minnesota,Iowa,Big Ten,52,72,False,,4,5,L 1,Carver-Hawkeye Arena
10,2019-12-15,2020,REG,Minnesota,Ohio State,Big Ten,84,71,True,,5,5,W 1,Williams Arena
11,2019-12-21,2020,REG,Minnesota,Oklahoma State,Big 12,86,66,True,,6,5,W 2,BOK Center
12,2019-12-28,2020,REG,Minnesota,Florida International,CUSA,89,62,True,,7,5,W 3,Williams Arena
13,2020-01-02,2020,REG,Minnesota,Purdue,Big Ten,78,83,False,2OT,7,6,L 1,Mackey Arena
14,2020-01-05,2020,REG,Minnesota,Northwestern,Big Ten,77,68,True,,8,6,W 1,Williams Arena
15,2020-01-09,2020,REG,Minnesota,Michigan State,Big Ten,58,74,False,,8,7,L 1,Breslin Events Center
16,2020-01-12,2020,REG,Minnesota,Michigan,Big Ten,75,67,True,,9,7,W 1,Williams Arena
17,2020-01-15,2020,REG,Minnesota,Penn State,Big Ten,75,69,True,,10,7,W 2,Williams Arena
18,2020-01-19,2020,REG,Minnesota,Rutgers,Big Ten,56,64,False,,10,8,L 1,Rutgers Athletic Center
19,2020-01-23,2020,REG,Minnesota,Ohio State,Big Ten,62,59,True,,11,8,W 1,Value City Arena
20,2020-01-26,2020,REG,Minnesota,Michigan State,Big Ten,52,70,False,,11,9,L 1,Williams Arena
21,2020-01-30,2020,REG,Minnesota,Illinois,Big Ten,51,59,False,,11,10,L 2,State Farm Center
22,2020-02-05,2020,REG,Minnesota,Wisconsin,Big Ten,70,52,True,,12,10,W 1,Williams Arena
23,2020-02-08,2020,REG,Minnesota,Penn State,Big Ten,77,83,False,,12,11,L 1,Bryce Jordan Center
24,2020-02-16,2020,REG,Minnesota,Iowa,Big Ten,55,58,False,,12,12,L 2,Williams Arena
25,2020-02-19,2020,REG,Minnesota,Indiana,Big Ten,56,68,False,,12,13,L 3,Williams Arena
26,2020-02-23,2020,REG,Minnesota,Northwestern,Big Ten,83,57,True,,13,13,W 1,Welsh-Ryan Arena
27,2020-02-26,2020,REG,Minnesota,Maryland,Big Ten,73,74,False,,13,14,L 1,Williams Arena
28,2020-03-01,2020,REG,Minnesota,Wisconsin,Big Ten,69,71,False,,13,15,L 2,Kohl Center
29,2020-03-04,2020,REG,Minnesota,Indiana,Big Ten,67,72,False,,13,16,L 3,Assembly Hall
30,2020-03-08,2020,REG,Minnesota,Nebraska,Big Ten,107,75,True,,14,16,W 1,Williams Arena
31,2020-03-11,2020,CTOURN,Minnesota,Northwestern,Big Ten,74,57,True,,15,16,W 2,Bankers Life Fieldhouse
1,2020-11-25,2021,REG,Minnesota,Green Bay,Horizon,99,69,True,,1,0,W 1,Williams Arena
2,2020-11-28,2021,REG,Minnesota,Loyola Marymount,WCC,88,73,True,,2,0,W 2,Williams Arena
3,2020-11-30,2021,REG,Minnesota,Loyola Marymount,WCC,67,64,True,,3,0,W 3,Williams Arena
4,2020-12-04,2021,REG,Minnesota,North Dakota,Summit,76,67,True,,4,0,W 4,Williams Arena
5,2020-12-08,2021,REG,Minnesota,Boston College,ACC,85,80,True,OT,5,0,W 5,Williams Arena
6,2020-12-10,2021,REG,Minnesota,Missouri-Kansas City,Summit,90,61,True,,6,0,W 6,Williams Arena
7,2020-12-15,2021,REG,Minnesota,Illinois,Big Ten,65,92,False,,6,1,L 1,State Farm Center
8,2020-12-20,2021,REG,Minnesota,Saint Louis,A-10,90,82,True,,7,1,W 1,Williams Arena
9,2020-12-25,2021,REG,Minnesota,Iowa,Big Ten,102,95,True,OT,8,1,W 2,Williams Arena
10,2020-12-28,2021,REG,Minnesota,Michigan State,Big Ten,81,56,True,,9,1,W 3,Williams Arena
11,2020-12-31,2021,REG,Minnesota,Wisconsin,Big Ten,59,71,False,,9,2,L 1,Kohl Center
12,2021-01-03,2021,REG,Minnesota,Ohio State,Big Ten,77,60,True,,10,2,W 1,Williams Arena
13,2021-01-06,2021,REG,Minnesota,Michigan,Big Ten,57,82,False,,10,3,L 1,Crisler Arena
14,2021-01-10,2021,REG,Minnesota,Iowa,Big Ten,71,86,False,,10,4,L 2,Carver-Hawkeye Arena
15,2021-01-16,2021,REG,Minnesota,Michigan,Big Ten,75,57,True,,11,4,W 1,Williams Arena
16,2021-01-23,2021,REG,Minnesota,Maryland,Big Ten,49,63,False,,11,5,L 1,Williams Arena
17,2021-01-30,2021,REG,Minnesota,Purdue,Big Ten,62,81,False,,11,6,L 2,Mackey Arena
18,2021-02-04,2021,REG,Minnesota,Rutgers,Big Ten,72,76,False,,11,7,L 3,Rutgers Athletic Center
19,2021-02-08,2021,REG,Minnesota,Nebraska,Big Ten,79,61,True,,12,7,W 1,Williams Arena
20,2021-02-11,2021,REG,Minnesota,Purdue,Big Ten,71,68,True,,13,7,W 2,Williams Arena
21,2021-02-14,2021,REG,Minnesota,Maryland,Big Ten,59,72,False,,13,8,L 1,Xfinity Center
22,2021-02-17,2021,REG,Minnesota,Indiana,Big Ten,72,82,False,,13,9,L 2,Assembly Hall
23,2021-02-20,2021,REG,Minnesota,Illinois,Big Ten,63,94,False,,13,10,L 3,Williams Arena
24,2021-02-25,2021,REG,Minnesota,Northwestern,Big Ten,59,67,False,,13,11,L 4,Williams Arena
25,2021-02-27,2021,REG,Minnesota,Nebraska,Big Ten,74,78,False,,13,12,L 5,Pinnacle Bank Arena
26,2021-03-03,2021,REG,Minnesota,Penn State,Big Ten,65,84,False,,13,13,L 6,Bryce Jordan Center
27,2021-03-06,2021,REG,Minnesota,Rutgers,Big Ten,70,77,False,OT,13,14,L 7,Williams Arena
28,2021-03-10,2021,CTOURN,Minnesota,Northwestern,Big Ten,51,46,True,,14,14,W 1,Lucas Oil Stadium
29,2021-03-11,2021,CTOURN,Minnesota,Ohio State,Big Ten,75,79,False,,14,15,L 1,Lucas Oil Stadium
1,2009-11-14,2010,REG,Nebraska,South Carolina Upstate,A-Sun,76,49,True,,1,0,W 1,Bob Devaney Sports Center
2,2009-11-18,2010,REG,Nebraska,Saint Louis,A-10,55,69,False,,1,1,L 1,Chaifetz Arena
3,2009-11-21,2010,REG,Nebraska,Texas Christian,MWC,90,77,True,,2,1,W 1,Bob Devaney Sports Center
4,2009-11-24,2010,REG,Nebraska,Missouri-Kansas City,Summit,70,48,True,,3,1,W 2,Bob Devaney Sports Center
5,2009-11-29,2010,REG,Nebraska,Southern California,Pac-10,51,48,True,,4,1,W 3,Galen Center
6,2009-12-02,2010,REG,Nebraska,Texas-Rio Grande Valley,GWC,81,53,True,,5,1,W 4,Bob Devaney Sports Center
7,2009-12-06,2010,REG,Nebraska,Creighton,MVC,61,67,False,,5,2,L 1,Qwest Center OMAHA
8,2009-12-10,2010,REG,Nebraska,Chicago State,GWC,74,39,True,,6,2,W 1,Bob Devaney Sports Center
9,2009-12-12,2010,REG,Nebraska,Oregon State,Pac-10,50,44,True,,7,2,W 2,Bob Devaney Sports Center
10,2009-12-19,2010,REG,Nebraska,Jackson State,SWAC,57,41,True,,8,2,W 3,Bob Devaney Sports Center
11,2009-12-22,2010,REG,Nebraska,Tulsa,CUSA,74,70,True,,9,2,W 4,Orleans Arena
12,2009-12-23,2010,REG,Nebraska,Brigham Young,MWC,66,88,False,,9,3,L 1,Orleans Arena
13,2009-12-29,2010,REG,Nebraska,Southern Utah,Summit,94,61,True,,10,3,W 1,Bob Devaney Sports Center
14,2010-01-02,2010,REG,Nebraska,Maryland-Eastern Shore,MEAC,74,60,True,,11,3,W 2,Bob Devaney Sports Center
15,2010-01-05,2010,REG,Nebraska,Southeastern Louisiana,Southland,77,59,True,,12,3,W 3,Bob Devaney Sports Center
16,2010-01-09,2010,REG,Nebraska,Texas A&M,Big 12,53,64,False,,12,4,L 1,Reed Arena
17,2010-01-13,2010,REG,Nebraska,Kansas,Big 12,72,84,False,,12,5,L 2,Bob Devaney Sports Center
18,2010-01-16,2010,REG,Nebraska,Iowa State,Big 12,53,56,False,,12,6,L 3,Bob Devaney Sports Center
19,2010-01-23,2010,REG,Nebraska,Missouri,Big 12,53,70,False,,12,7,L 4,Mizzou Arena
20,2010-01-27,2010,REG,Nebraska,Colorado,Big 12,60,72,False,,12,8,L 5,Coors Events/Conference Center
21,2010-01-30,2010,REG,Nebraska,Oklahoma,Big 12,63,46,True,,13,8,W 1,Bob Devaney Sports Center
22,2010-02-02,2010,REG,Nebraska,Kansas State,Big 12,57,76,False,,13,9,L 1,Bob Devaney Sports Center
23,2010-02-06,2010,REG,Nebraska,Kansas,Big 12,64,75,False,,13,10,L 2,Allen Fieldhouse
24,2010-02-10,2010,REG,Nebraska,Baylor,Big 12,53,55,False,,13,11,L 3,Bob Devaney Sports Center
25,2010-02-13,2010,REG,Nebraska,Texas,Big 12,51,91,False,,13,12,L 4,Frank Erwin Center
26,2010-02-17,2010,REG,Nebraska,Kansas State,Big 12,87,91,False,,13,13,L 5,Bramlage Coliseum
27,2010-02-20,2010,REG,Nebraska,Missouri,Big 12,59,74,False,,13,14,L 6,Bob Devaney Sports Center
28,2010-02-24,2010,REG,Nebraska,Iowa State,Big 12,74,78,False,,13,15,L 7,James H. Hilton Coliseum
29,2010-02-27,2010,REG,Nebraska,Texas Tech,Big 12,83,79,True,2OT,14,15,W 1,Bob Devaney Sports Center
30,2010-03-02,2010,REG,Nebraska,Colorado,Big 12,68,81,False,,14,16,L 1,Bob Devaney Sports Center
31,2010-03-06,2010,REG,Nebraska,Oklahoma State,Big 12,55,74,False,,14,17,L 2,Gallagher-Iba Arena
32,2010-03-10,2010,CTOURN,Nebraska,Missouri,Big 12,75,60,True,,15,17,W 1,Sprint Center
33,2010-03-11,2010,CTOURN,Nebraska,Texas A&M,Big 12,64,70,False,,15,18,L 1,Sprint Center
1,2010-11-12,2011,REG,Nebraska,South Dakota,GWC,76,68,True,,1,0,W 1,Bob Devaney Sports Center
2,2010-11-15,2011,REG,Nebraska,Arkansas-Pine Bluff,SWAC,83,40,True,,2,0,W 2,Bob Devaney Sports Center
3,2010-11-18,2011,REG,Nebraska,Vanderbilt,SEC,49,59,False,,2,1,L 1,Jos̩ Miguel Agrelot Coliseum
4,2010-11-19,2011,REG,Nebraska,Davidson,Southern,67,70,False,,2,2,L 2,Jos̩ Miguel Agrelot Coliseum
5,2010-11-21,2011,REG,Nebraska,Hofstra,CAA,62,47,True,,3,2,W 1,Jos̩ Miguel Agrelot Coliseum
6,2010-11-27,2011,REG,Nebraska,Southern California,Pac-10,60,58,True,,4,2,W 2,Bob Devaney Sports Center
7,2010-12-01,2011,REG,Nebraska,Jackson State,SWAC,76,57,True,,5,2,W 3,Bob Devaney Sports Center
8,2010-12-05,2011,REG,Nebraska,Creighton,MVC,59,54,True,,6,2,W 4,Bob Devaney Sports Center
9,2010-12-08,2011,REG,Nebraska,Alcorn State,SWAC,78,57,True,,7,2,W 5,Bob Devaney Sports Center
10,2010-12-11,2011,REG,Nebraska,Texas Christian,MWC,70,56,True,,8,2,W 6,Bob Devaney Sports Center
11,2010-12-18,2011,REG,Nebraska,Eastern Washington,Big Sky,72,42,True,,9,2,W 7,Bob Devaney Sports Center
12,2010-12-21,2011,REG,Nebraska,Grambling,SWAC,79,39,True,,10,2,W 8,Bob Devaney Sports Center
13,2011-01-03,2011,REG,Nebraska,North Dakota,GWC,77,46,True,,11,2,W 9,Bob Devaney Sports Center
14,2011-01-05,2011,REG,Nebraska,Savannah State,Ind,68,48,True,,12,2,W 10,Bob Devaney Sports Center
15,2011-01-08,2011,REG,Nebraska,Iowa State,Big 12,63,62,True,,13,2,W 11,Bob Devaney Sports Center
16,2011-01-12,2011,REG,Nebraska,Missouri,Big 12,69,77,False,,13,3,L 1,Mizzou Arena
17,2011-01-15,2011,REG,Nebraska,Kansas,Big 12,60,63,False,,13,4,L 2,Allen Fieldhouse
18,2011-01-18,2011,REG,Nebraska,Colorado,Big 12,79,67,True,,14,4,W 1,Bob Devaney Sports Center
19,2011-01-22,2011,REG,Nebraska,Texas Tech,Big 12,71,72,False,,14,5,L 1,United Spirit Arena
20,2011-01-29,2011,REG,Nebraska,Texas A&M,Big 12,57,48,True,,15,5,W 1,Bob Devaney Sports Center
21,2011-02-02,2011,REG,Nebraska,Kansas State,Big 12,53,69,False,,15,6,L 1,Bramlage Coliseum
22,2011-02-05,2011,REG,Nebraska,Kansas,Big 12,66,86,False,,15,7,L 2,Bob Devaney Sports Center
23,2011-02-09,2011,REG,Nebraska,Baylor,Big 12,70,74,False,,15,8,L 3,Ferrell Center
24,2011-02-12,2011,REG,Nebraska,Oklahoma State,Big 12,65,54,True,,16,8,W 1,Bob Devaney Sports Center
25,2011-02-16,2011,REG,Nebraska,Oklahoma,Big 12,59,58,True,,17,8,W 2,Lloyd Noble Center
26,2011-02-19,2011,REG,Nebraska,Texas,Big 12,70,67,True,,18,8,W 3,Bob Devaney Sports Center
27,2011-02-23,2011,REG,Nebraska,Kansas State,Big 12,57,61,False,,18,9,L 1,Bob Devaney Sports Center
28,2011-02-26,2011,REG,Nebraska,Iowa State,Big 12,82,83,False,OT,18,10,L 2,James H. Hilton Coliseum
29,2011-03-01,2011,REG,Nebraska,Missouri,Big 12,69,58,True,,19,10,W 1,Bob Devaney Sports Center
30,2011-03-05,2011,REG,Nebraska,Colorado,Big 12,57,67,False,,19,11,L 1,Coors Events/Conference Center
31,2011-03-09,2011,CTOURN,Nebraska,Oklahoma State,Big 12,52,53,False,,19,12,L 2,Sprint Center
32,2011-03-16,2011,NIT,Nebraska,Wichita State,MVC,49,76,False,,19,13,L 3,Charles Koch Arena
1,2011-11-11,2012,REG,Nebraska,South Dakota,Summit,65,48,True,,1,0,W 1,Bob Devaney Sports Center
2,2011-11-14,2012,REG,Nebraska,Southern California,Pac-12,64,61,True,2OT,2,0,W 2,Galen Center
3,2011-11-20,2012,REG,Nebraska,Rhode Island,A-10,83,63,True,,3,0,W 3,Bob Devaney Sports Center
4,2011-11-23,2012,REG,Nebraska,Oregon,Pac-12,76,83,False,,3,1,L 1,Bob Devaney Sports Center
5,2011-11-26,2012,REG,Nebraska,South Dakota State,Summit,76,64,True,,4,1,W 1,Bob Devaney Sports Center
6,2011-11-30,2012,REG,Nebraska,Wake Forest,ACC,53,55,False,,4,2,L 1,Bob Devaney Sports Center
7,2011-12-04,2012,REG,Nebraska,Creighton,MVC,66,76,False,,4,3,L 2,Qwest Center OMAHA
8,2011-12-07,2012,REG,Nebraska,Florida Gulf Coast,A-Sun,51,50,True,,5,3,W 1,Bob Devaney Sports Center
9,2011-12-10,2012,REG,Nebraska,Texas Christian,MWC,69,57,True,,6,3,W 2,Daniel-Meyer Coliseum
10,2011-12-17,2012,REG,Nebraska,Alcorn State,SWAC,60,46,True,,7,3,W 3,Bob Devaney Sports Center
11,2011-12-20,2012,REG,Nebraska,Central Michigan,MAC,72,69,True,,8,3,W 4,Bob Devaney Sports Center
12,2011-12-27,2012,REG,Nebraska,Wisconsin,Big Ten,40,64,False,,8,4,L 1,Bob Devaney Sports Center
13,2011-12-31,2012,REG,Nebraska,Michigan State,Big Ten,55,68,False,,8,5,L 2,Bob Devaney Sports Center
14,2012-01-03,2012,REG,Nebraska,Ohio State,Big Ten,40,71,False,,8,6,L 3,Value City Arena
15,2012-01-07,2012,REG,Nebraska,Illinois,Big Ten,54,59,False,,8,7,L 4,Assembly Hall
16,2012-01-11,2012,REG,Nebraska,Penn State,Big Ten,70,58,True,,9,7,W 1,Bob Devaney Sports Center
17,2012-01-15,2012,REG,Nebraska,Wisconsin,Big Ten,45,50,False,,9,8,L 1,Kohl Center
18,2012-01-18,2012,REG,Nebraska,Indiana,Big Ten,70,69,True,,10,8,W 1,Bob Devaney Sports Center
19,2012-01-21,2012,REG,Nebraska,Ohio State,Big Ten,45,79,False,,10,9,L 1,Bob Devaney Sports Center
20,2012-01-26,2012,REG,Nebraska,Iowa,Big Ten,79,73,True,,11,9,W 1,Carver-Hawkeye Arena
21,2012-02-02,2012,REG,Nebraska,Northwestern,Big Ten,74,84,False,,11,10,L 1,Welsh-Ryan Arena
22,2012-02-05,2012,REG,Nebraska,Minnesota,Big Ten,61,69,False,,11,11,L 2,Bob Devaney Sports Center
23,2012-02-08,2012,REG,Nebraska,Michigan,Big Ten,46,62,False,,11,12,L 3,Bob Devaney Sports Center
24,2012-02-11,2012,REG,Nebraska,Penn State,Big Ten,51,67,False,,11,13,L 4,Bryce Jordan Center
25,2012-02-18,2012,REG,Nebraska,Illinois,Big Ten,80,57,True,,12,13,W 1,Bob Devaney Sports Center
26,2012-02-22,2012,REG,Nebraska,Purdue,Big Ten,65,83,False,,12,14,L 1,Mackey Arena
27,2012-02-25,2012,REG,Nebraska,Michigan State,Big Ten,34,62,False,,12,15,L 2,Breslin Events Center
28,2012-02-29,2012,REG,Nebraska,Iowa,Big Ten,53,62,False,,12,16,L 3,Bob Devaney Sports Center
29,2012-03-03,2012,REG,Nebraska,Minnesota,Big Ten,69,81,False,,12,17,L 4,Williams Arena
30,2012-03-08,2012,CTOURN,Nebraska,Purdue,Big Ten,61,79,False,,12,18,L 5,Conseco Fieldhouse
1,2012-11-11,2013,REG,Nebraska,Southern,SWAC,66,55,True,,1,0,W 1,Bob Devaney Sports Center
2,2012-11-15,2013,REG,Nebraska,Valparaiso,Horizon,50,48,True,,2,0,W 2,Bob Devaney Sports Center
3,2012-11-18,2013,REG,Nebraska,Omaha,Summit,75,62,True,,3,0,W 3,Bob Devaney Sports Center
4,2012-11-21,2013,REG,Nebraska,Tulane,CUSA,61,57,True,,4,0,W 4,Bob Devaney Sports Center
5,2012-11-24,2013,REG,Nebraska,Kent State,MAC,60,74,False,,4,1,L 1,Bob Devaney Sports Center
6,2012-11-27,2013,REG,Nebraska,Wake Forest,ACC,79,63,True,,5,1,W 1,Lawrence Joel Coliseum
7,2012-12-03,2013,REG,Nebraska,Southern California,Pac-12,63,51,True,,6,1,W 2,Bob Devaney Sports Center
8,2012-12-06,2013,REG,Nebraska,Creighton,MVC,42,64,False,,6,2,L 1,Bob Devaney Sports Center
9,2012-12-15,2013,REG,Nebraska,Oregon,Pac-12,38,60,False,,6,3,L 2,Matthew Knight Arena
10,2012-12-18,2013,REG,Nebraska,Jacksonville State,OVC,59,55,True,,7,3,W 1,Bob Devaney Sports Center
11,2012-12-22,2013,REG,Nebraska,Central Michigan,MAC,89,75,True,,8,3,W 2,Don Haskins Center
12,2012-12-23,2013,REG,Nebraska,Texas-El Paso,CUSA,52,68,False,,8,4,L 1,Don Haskins Center
13,2012-12-29,2013,REG,Nebraska,Nicholls State,Southland,68,59,True,,9,4,W 1,Bob Devaney Sports Center
14,2013-01-02,2013,REG,Nebraska,Ohio State,Big Ten,44,70,False,,9,5,L 1,Value City Arena
15,2013-01-06,2013,REG,Nebraska,Wisconsin,Big Ten,41,47,False,,9,6,L 2,Bob Devaney Sports Center
16,2013-01-09,2013,REG,Nebraska,Michigan,Big Ten,47,62,False,,9,7,L 3,Crisler Arena
17,2013-01-13,2013,REG,Nebraska,Michigan State,Big Ten,56,66,False,,9,8,L 4,Breslin Events Center
18,2013-01-16,2013,REG,Nebraska,Purdue,Big Ten,56,65,False,,9,9,L 5,Bob Devaney Sports Center
19,2013-01-19,2013,REG,Nebraska,Penn State,Big Ten,68,64,True,,10,9,W 1,Bryce Jordan Center
20,2013-01-22,2013,REG,Nebraska,Illinois,Big Ten,51,71,False,,10,10,L 1,Bob Devaney Sports Center
21,2013-01-26,2013,REG,Nebraska,Northwestern,Big Ten,64,49,True,,11,10,W 1,Bob Devaney Sports Center
22,2013-01-29,2013,REG,Nebraska,Minnesota,Big Ten,65,84,False,,11,11,L 1,Williams Arena
23,2013-02-02,2013,REG,Nebraska,Ohio State,Big Ten,56,63,False,,11,12,L 2,Bob Devaney Sports Center
24,2013-02-09,2013,REG,Nebraska,Penn State,Big Ten,67,53,True,,12,12,W 1,Bob Devaney Sports Center
25,2013-02-13,2013,REG,Nebraska,Indiana,Big Ten,47,76,False,,12,13,L 1,Assembly Hall
26,2013-02-16,2013,REG,Nebraska,Michigan State,Big Ten,64,73,False,,12,14,L 2,Bob Devaney Sports Center
27,2013-02-23,2013,REG,Nebraska,Iowa,Big Ten,64,60,True,,13,14,W 1,Bob Devaney Sports Center
28,2013-02-26,2013,REG,Nebraska,Wisconsin,Big Ten,46,77,False,,13,15,L 1,Kohl Center
29,2013-03-02,2013,REG,Nebraska,Illinois,Big Ten,65,72,False,,13,16,L 2,Assembly Hall
30,2013-03-06,2013,REG,Nebraska,Minnesota,Big Ten,53,51,True,,14,16,W 1,Bob Devaney Sports Center
31,2013-03-09,2013,REG,Nebraska,Iowa,Big Ten,60,74,False,,14,17,L 1,Carver-Hawkeye Arena
32,2013-03-14,2013,CTOURN,Nebraska,Purdue,Big Ten,57,55,True,,15,17,W 1,
33,2013-03-15,2013,CTOURN,Nebraska,Ohio State,Big Ten,50,71,False,,15,18,L 1,United Center
1,2013-11-08,2014,REG,Nebraska,Florida Gulf Coast,A-Sun,79,55,True,,1,0,W 1,Pinnacle Bank Arena
2,2013-11-12,2014,REG,Nebraska,Western Illinois,Summit,62,47,True,,2,0,W 2,Pinnacle Bank Arena
3,2013-11-17,2014,REG,Nebraska,South Carolina State,MEAC,83,57,True,,3,0,W 3,Pinnacle Bank Arena
4,2013-11-21,2014,REG,Nebraska,Massachusetts,A-10,90,96,False,,3,1,L 1,Carolina First Arena
5,2013-11-22,2014,REG,Nebraska,Alabama-Birmingham,CUSA,74,87,False,,3,2,L 2,Carolina First Arena
6,2013-11-24,2014,REG,Nebraska,Georgia,SEC,73,65,True,,4,2,W 1,Carolina First Arena
7,2013-11-30,2014,REG,Nebraska,Northern Illinois,MAC,63,58,True,,5,2,W 2,Pinnacle Bank Arena
8,2013-12-04,2014,REG,Nebraska,Miami (FL),ACC,60,49,True,,6,2,W 3,Pinnacle Bank Arena
9,2013-12-08,2014,REG,Nebraska,Creighton,Big East,67,82,False,,6,3,L 1,Qwest Center OMAHA
10,2013-12-14,2014,REG,Nebraska,Arkansas State,Sun Belt,79,67,True,,7,3,W 1,Pinnacle Bank Arena
11,2013-12-21,2014,REG,Nebraska,Citadel,Southern,77,62,True,,8,3,W 2,Pinnacle Bank Arena
12,2013-12-28,2014,REG,Nebraska,Cincinnati,AAC,59,74,False,,8,4,L 1,Fifth Third Arena
13,2013-12-31,2014,REG,Nebraska,Iowa,Big Ten,57,67,False,,8,5,L 2,Carver-Hawkeye Arena
14,2014-01-04,2014,REG,Nebraska,Ohio State,Big Ten,53,84,False,,8,6,L 3,Value City Arena
15,2014-01-09,2014,REG,Nebraska,Michigan,Big Ten,70,71,False,,8,7,L 4,Pinnacle Bank Arena
16,2014-01-12,2014,REG,Nebraska,Purdue,Big Ten,64,70,False,,8,8,L 5,Mackey Arena
17,2014-01-20,2014,REG,Nebraska,Ohio State,Big Ten,68,62,True,,9,8,W 1,Pinnacle Bank Arena
18,2014-01-23,2014,REG,Nebraska,Penn State,Big Ten,54,58,False,,9,9,L 1,Bryce Jordan Center
19,2014-01-26,2014,REG,Nebraska,Minnesota,Big Ten,82,78,True,,10,9,W 1,Pinnacle Bank Arena
20,2014-01-30,2014,REG,Nebraska,Indiana,Big Ten,60,55,True,,11,9,W 2,Pinnacle Bank Arena
21,2014-02-05,2014,REG,Nebraska,Michigan,Big Ten,50,79,False,,11,10,L 1,Crisler Arena
22,2014-02-08,2014,REG,Nebraska,Northwestern,Big Ten,53,49,True,,12,10,W 1,Welsh-Ryan Arena
23,2014-02-12,2014,REG,Nebraska,Illinois,Big Ten,67,58,True,,13,10,W 2,Pinnacle Bank Arena
24,2014-02-16,2014,REG,Nebraska,Michigan State,Big Ten,60,51,True,,14,10,W 3,Breslin Events Center
25,2014-02-20,2014,REG,Nebraska,Penn State,Big Ten,80,67,True,,15,10,W 4,Pinnacle Bank Arena
26,2014-02-23,2014,REG,Nebraska,Purdue,Big Ten,76,57,True,,16,10,W 5,Pinnacle Bank Arena
27,2014-02-26,2014,REG,Nebraska,Illinois,Big Ten,49,60,False,,16,11,L 1,Assembly Hall
28,2014-03-01,2014,REG,Nebraska,Northwestern,Big Ten,54,47,True,,17,11,W 1,Pinnacle Bank Arena
29,2014-03-05,2014,REG,Nebraska,Indiana,Big Ten,70,60,True,,18,11,W 2,Assembly Hall
30,2014-03-09,2014,REG,Nebraska,Wisconsin,Big Ten,77,68,True,,19,11,W 3,Pinnacle Bank Arena
31,2014-03-14,2014,CTOURN,Nebraska,Ohio State,Big Ten,67,71,False,,19,12,L 1,Conseco Fieldhouse
32,2014-03-21,2014,NCAA,Nebraska,Baylor,Big 12,60,74,False,,19,13,L 2,AT&T Center
1,2014-11-16,2015,REG,Nebraska,Northern Kentucky,A-Sun,80,61,True,,1,0,W 1,Pinnacle Bank Arena
2,2014-11-18,2015,REG,Nebraska,Central Arkansas,Southland,82,56,True,,2,0,W 2,Pinnacle Bank Arena
3,2014-11-22,2015,REG,Nebraska,Rhode Island,A-10,62,66,False,OT,2,1,L 1,Thomas M. Ryan Center
4,2014-11-25,2015,REG,Nebraska,Omaha,Summit,80,67,True,,3,1,W 1,Pinnacle Bank Arena
5,2014-11-28,2015,REG,Nebraska,Tennessee-Martin,OVC,75,64,True,,4,1,W 2,Pinnacle Bank Arena
6,2014-12-01,2015,REG,Nebraska,Florida State,ACC,70,65,True,,5,1,W 3,Donald L. Tucker Center
7,2014-12-07,2015,REG,Nebraska,Creighton,Big East,55,65,False,,5,2,L 1,Pinnacle Bank Arena
8,2014-12-10,2015,REG,Nebraska,Incarnate Word,Southland,73,74,False,,5,3,L 2,Pinnacle Bank Arena
9,2014-12-13,2015,REG,Nebraska,Cincinnati,AAC,56,55,True,2OT,6,3,W 1,Pinnacle Bank Arena
