,G,Date,season_end,Type,TEAM,Opponent,Conf,Tm,Opp,Won,OT,W,L,Streak,Arena,game_id,link
370,3,2020-12-01,2021,REG,Indiana,Texas,Big 12,44,66,False,,2,1,L 1,U.S. Cellular Center,370,https://www.sports-reference.com/cbb/boxscores/2020-12-01-13-indiana.html
371,4,2020-12-02,2021,REG,Indiana,Stanford,Pac-12,79,63,True,,3,1,W 1,U.S. Cellular Center,371,https://www.sports-reference.com/cbb/boxscores/2020-12-02-13-stanford.html
372,5,2020-12-09,2021,REG,Indiana,Florida State,ACC,67,69,False,OT,3,2,L 1,Donald L. Tucker Center,372,https://www.sports-reference.com/cbb/boxscores/2020-12-09-19-florida-state.html
373,6,2020-12-13,2021,REG,Indiana,North Alabama,A-Sun,87,52,True,,4,2,W 1,Assembly Hall,373,https://www.sports-reference.com/cbb/boxscores/2020-12-13-12-indiana.html
374,7,2020-12-19,2021,REG,Indiana,Butler,Big East,68,60,True,,5,2,W 2,Bankers Life Fieldhouse,374,https://www.sports-reference.com/cbb/boxscores/2020-12-19-11-indiana.html
375,8,2020-12-23,2021,REG,Indiana,Northwestern,Big Ten,67,74,False,,5,3,L 1,Assembly Hall,375,https://www.sports-reference.com/cbb/boxscores/2020-12-23-20-indiana.html
376,9,2020-12-26,2021,REG,Indiana,Illinois,Big Ten,60,69,False,,5,4,L 2,State Farm Center,376,https://www.sports-reference.com/cbb/boxscores/2020-12-26-16-illinois.html
377,10,2020-12-30,2021,REG,Indiana,Penn State,Big Ten,87,85,True,OT,6,4,W 1,Assembly Hall,377,https://www.sports-reference.com/cbb/boxscores/2020-12-30-20-indiana.html
378,11,2021-01-04,2021,REG,Indiana,Maryland,Big Ten,63,55,True,,7,4,W 2,Assembly Hall,378,https://www.sports-reference.com/cbb/boxscores/2021-01-04-20-indiana.html
379,12,2021-01-07,2021,REG,Indiana,Wisconsin,Big Ten,73,80,False,2OT,7,5,L 1,Kohl Center,379,https://www.sports-reference.com/cbb/boxscores/2021-01-07-19-wisconsin.html
380,13,2021-01-10,2021,REG,Indiana,Nebraska,Big Ten,84,76,True,,8,5,W 1,Pinnacle Bank Arena,380,https://www.sports-reference.com/cbb/boxscores/2021-01-10-18-nebraska.html
381,14,2021-01-14,2021,REG,Indiana,Purdue,Big Ten,69,81,False,,8,6,L 1,Assembly Hall,381,https://www.sports-reference.com/cbb/boxscores/2021-01-14-19-indiana.html
382,15,2021-01-21,2021,REG,Indiana,Iowa,Big Ten,81,69,True,,9,6,W 1,Carver-Hawkeye Arena,382,https://www.sports-reference.com/cbb/boxscores/2021-01-21-21-iowa.html
383,16,2021-01-24,2021,REG,Indiana,Rutgers,Big Ten,70,74,False,,9,7,L 1,Assembly Hall,383,https://www.sports-reference.com/cbb/boxscores/2021-01-24-12-indiana.html
384,17,2021-02-02,2021,REG,Indiana,Illinois,Big Ten,71,75,False,OT,9,8,L 2,Assembly Hall,384,https://www.sports-reference.com/cbb/boxscores/2021-02-02-21-indiana.html
385,18,2021-02-07,2021,REG,Indiana,Iowa,Big Ten,67,65,True,,10,8,W 1,Assembly Hall,385,https://www.sports-reference.com/cbb/boxscores/2021-02-07-12-indiana.html
386,19,2021-02-10,2021,REG,Indiana,Northwestern,Big Ten,79,76,True,2OT,11,8,W 2,Welsh-Ryan Arena,386,https://www.sports-reference.com/cbb/boxscores/2021-02-10-17-northwestern.html
387,20,2021-02-13,2021,REG,Indiana,Ohio State,Big Ten,59,78,False,,11,9,L 1,Value City Arena,387,https://www.sports-reference.com/cbb/boxscores/2021-02-13-12-ohio-state.html
388,21,2021-02-17,2021,REG,Indiana,Minnesota,Big Ten,82,72,True,,12,9,W 1,Assembly Hall,388,https://www.sports-reference.com/cbb/boxscores/2021-02-17-21-indiana.html
389,22,2021-02-20,2021,REG,Indiana,Michigan State,Big Ten,71,78,False,,12,10,L 1,Assembly Hall,389,https://www.sports-reference.com/cbb/boxscores/2021-02-20-12-indiana.html
390,23,2021-02-24,2021,REG,Indiana,Rutgers,Big Ten,63,74,False,,12,11,L 2,Rutgers Athletic Center,390,https://www.sports-reference.com/cbb/boxscores/2021-02-24-20-rutgers.html
391,24,2021-02-27,2021,REG,Indiana,Michigan,Big Ten,57,73,False,,12,12,L 3,Assembly Hall,391,https://www.sports-reference.com/cbb/boxscores/2021-02-27-12-indiana.html
392,25,2021-03-02,2021,REG,Indiana,Michigan State,Big Ten,58,64,False,,12,13,L 4,Breslin Events Center,392,https://www.sports-reference.com/cbb/boxscores/2021-03-02-20-michigan-state.html
393,26,2021-03-06,2021,REG,Indiana,Purdue,Big Ten,58,67,False,,12,14,L 5,Mackey Arena,393,https://www.sports-reference.com/cbb/boxscores/2021-03-06-14-purdue.html
394,27,2021-03-11,2021,CTOURN,Indiana,Rutgers,Big Ten,50,61,False,,12,15,L 6,Lucas Oil Stadium,394,https://www.sports-reference.com/cbb/boxscores/2021-03-11-18-rutgers.html
395,1,2009-11-13,2010,REG,Maryland,Charleston Southern,Big South,89,51,True,,1,0,W 1,Comcast Center,395,https://www.sports-reference.com/cbb/boxscores/2009-11-13-maryland.html
396,2,2009-11-17,2010,REG,Maryland,Fairfield,MAAC,71,42,True,,2,0,W 2,Comcast Center,396,https://www.sports-reference.com/cbb/boxscores/2009-11-17-maryland.html
397,3,2009-11-20,2010,REG,Maryland,New Hampshire,AEC,82,55,True,,3,0,W 3,Comcast Center,397,https://www.sports-reference.com/cbb/boxscores/2009-11-20-maryland.html
398,4,2009-11-23,2010,REG,Maryland,Chaminade,,79,51,True,,4,0,W 4,Lahaina Civic Center,398,https://www.sports-reference.com/cbb/boxscores/2009-11-23-chaminade.html
399,5,2009-11-24,2010,REG,Maryland,Cincinnati,Big East,57,69,False,,4,1,L 1,Lahaina Civic Center,399,https://www.sports-reference.com/cbb/boxscores/2009-11-24-maryland.html
400,6,2009-11-25,2010,REG,Maryland,Wisconsin,Big Ten,69,78,False,,4,2,L 2,Lahaina Civic Center,400,https://www.sports-reference.com/cbb/boxscores/2009-11-25-maryland.html
401,7,2009-12-01,2010,REG,Maryland,Indiana,Big Ten,80,68,True,,5,2,W 1,Assembly Hall,6,https://www.sports-reference.com/cbb/boxscores/2009-12-01-indiana.html
402,8,2009-12-06,2010,REG,Maryland,Villanova,Big East,86,95,False,,5,3,L 1,Verizon Center,401,https://www.sports-reference.com/cbb/boxscores/2009-12-06-maryland.html
403,9,2009-12-12,2010,REG,Maryland,Eastern Kentucky,OVC,83,72,True,,6,3,W 1,Comcast Center,402,https://www.sports-reference.com/cbb/boxscores/2009-12-12-maryland.html
404,10,2009-12-22,2010,REG,Maryland,Winston-Salem,MEAC,98,55,True,,7,3,W 2,Comcast Center,403,https://www.sports-reference.com/cbb/boxscores/2009-12-22-maryland.html
405,11,2009-12-27,2010,REG,Maryland,Florida Atlantic,Sun Belt,72,59,True,,8,3,W 3,Comcast Center,404,https://www.sports-reference.com/cbb/boxscores/2009-12-27-maryland.html
406,12,2009-12-30,2010,REG,Maryland,William & Mary,CAA,77,83,False,,8,4,L 1,Comcast Center,405,https://www.sports-reference.com/cbb/boxscores/2009-12-30-maryland.html
407,13,2010-01-03,2010,REG,Maryland,North Carolina-Greensboro,Southern,97,63,True,,9,4,W 1,Fleming Gymnasium,406,https://www.sports-reference.com/cbb/boxscores/2010-01-03-north-carolina-greensboro.html
408,14,2010-01-10,2010,REG,Maryland,Florida State,ACC,77,68,True,,10,4,W 2,Comcast Center,407,https://www.sports-reference.com/cbb/boxscores/2010-01-10-maryland.html
409,15,2010-01-12,2010,REG,Maryland,Wake Forest,ACC,83,85,False,OT,10,5,L 1,Lawrence Joel Coliseum,408,https://www.sports-reference.com/cbb/boxscores/2010-01-12-wake-forest.html
410,16,2010-01-16,2010,REG,Maryland,Boston College,ACC,73,57,True,,11,5,W 1,Silvio O. Conte Forum,409,https://www.sports-reference.com/cbb/boxscores/2010-01-16-boston-college.html
411,17,2010-01-19,2010,REG,Maryland,Longwood,Ind,106,55,True,,12,5,W 2,Comcast Center,410,https://www.sports-reference.com/cbb/boxscores/2010-01-19-maryland.html
412,18,2010-01-23,2010,REG,Maryland,North Carolina State,ACC,88,64,True,,13,5,W 3,Comcast Center,411,https://www.sports-reference.com/cbb/boxscores/2010-01-23-maryland.html
413,19,2010-01-26,2010,REG,Maryland,Miami (FL),ACC,81,59,True,,14,5,W 4,Comcast Center,412,https://www.sports-reference.com/cbb/boxscores/2010-01-26-maryland.html
414,20,2010-01-31,2010,REG,Maryland,Clemson,ACC,53,62,False,,14,6,L 1,Littlejohn Coliseum,413,https://www.sports-reference.com/cbb/boxscores/2010-01-31-clemson.html
415,21,2010-02-04,2010,REG,Maryland,Florida State,ACC,71,67,True,,15,6,W 1,Donald L. Tucker Center,414,https://www.sports-reference.com/cbb/boxscores/2010-02-04-florida-state.html
416,22,2010-02-07,2010,REG,Maryland,North Carolina,ACC,92,71,True,,16,6,W 2,Comcast Center,415,https://www.sports-reference.com/cbb/boxscores/2010-02-07-maryland.html
417,23,2010-02-13,2010,REG,Maryland,Duke,ACC,56,77,False,,16,7,L 1,Cameron Indoor Stadium,416,https://www.sports-reference.com/cbb/boxscores/2010-02-13-duke.html
418,24,2010-02-15,2010,REG,Maryland,Virginia,ACC,85,66,True,,17,7,W 1,Comcast Center,417,https://www.sports-reference.com/cbb/boxscores/2010-02-15-maryland.html
419,25,2010-02-17,2010,REG,Maryland,North Carolina State,ACC,67,58,True,,18,7,W 2,RBC Center,418,https://www.sports-reference.com/cbb/boxscores/2010-02-17-north-carolina-state.html
420,26,2010-02-20,2010,REG,Maryland,Georgia Tech,ACC,76,74,True,,19,7,W 3,Comcast Center,419,https://www.sports-reference.com/cbb/boxscores/2010-02-20-maryland.html
421,27,2010-02-24,2010,REG,Maryland,Clemson,ACC,88,79,True,,20,7,W 4,Comcast Center,420,https://www.sports-reference.com/cbb/boxscores/2010-02-24-maryland.html
422,28,2010-02-27,2010,REG,Maryland,Virginia Tech,ACC,104,100,True,2OT,21,7,W 5,Cassell Coliseum,421,https://www.sports-reference.com/cbb/boxscores/2010-02-27-virginia-tech.html
423,29,2010-03-03,2010,REG,Maryland,Duke,ACC,79,72,True,,22,7,W 6,Comcast Center,422,https://www.sports-reference.com/cbb/boxscores/2010-03-03-maryland.html
424,30,2010-03-06,2010,REG,Maryland,Virginia,ACC,74,68,True,,23,7,W 7,John Paul Jones Arena,423,https://www.sports-reference.com/cbb/boxscores/2010-03-06-virginia.html
425,31,2010-03-12,2010,CTOURN,Maryland,Georgia Tech,ACC,64,69,False,,23,8,L 1,Greensboro Coliseum,424,https://www.sports-reference.com/cbb/boxscores/2010-03-12-maryland.html
426,32,2010-03-19,2010,NCAA,Maryland,Houston,CUSA,89,77,True,,24,8,W 1,Spokane Veterans Memorial Arena,425,https://www.sports-reference.com/cbb/boxscores/2010-03-19-houston.html
427,33,2010-03-21,2010,NCAA,Maryland,Michigan State,Big Ten,83,85,False,,24,9,L 1,Spokane Veterans Memorial Arena,426,https://www.sports-reference.com/cbb/boxscores/2010-03-21-maryland.html
428,1,2010-11-08,2011,REG,Maryland,Seattle,Ind,105,76,True,,1,0,W 1,Comcast Center,427,https://www.sports-reference.com/cbb/boxscores/2010-11-08-maryland.html
429,2,2010-11-10,2011,REG,Maryland,College of Charleston,Southern,75,74,True,,2,0,W 2,Comcast Center,428,https://www.sports-reference.com/cbb/boxscores/2010-11-10-maryland.html
430,3,2010-11-14,2011,REG,Maryland,Maine,AEC,89,59,True,,3,0,W 3,Comcast Center,429,https://www.sports-reference.com/cbb/boxscores/2010-11-14-maryland.html
431,4,2010-11-18,2011,REG,Maryland,Pittsburgh,Big East,70,79,False,,3,1,L 1,Madison Square Garden (IV),430,https://www.sports-reference.com/cbb/boxscores/2010-11-18-maryland.html
432,5,2010-11-19,2011,REG,Maryland,Illinois,Big Ten,76,80,False,,3,2,L 2,,431,https://www.sports-reference.com/cbb/boxscores/2010-11-19-illinois.html
433,6,2010-11-23,2011,REG,Maryland,Delaware State,MEAC,72,54,True,,4,2,W 1,Comcast Center,432,https://www.sports-reference.com/cbb/boxscores/2010-11-23-maryland.html
434,7,2010-11-26,2011,REG,Maryland,Elon,Southern,76,57,True,,5,2,W 2,Comcast Center,433,https://www.sports-reference.com/cbb/boxscores/2010-11-26-maryland.html
435,8,2010-12-01,2011,REG,Maryland,Penn State,Big Ten,62,39,True,,6,2,W 3,Bryce Jordan Center,434,https://www.sports-reference.com/cbb/boxscores/2010-12-01-penn-state.html
436,9,2010-12-05,2011,REG,Maryland,Temple,A-10,61,64,False,,6,3,L 1,Comcast Center,435,https://www.sports-reference.com/cbb/boxscores/2010-12-05-maryland.html
437,10,2010-12-08,2011,REG,Maryland,North Carolina-Greensboro,Southern,99,56,True,,7,3,W 1,Comcast Center,436,https://www.sports-reference.com/cbb/boxscores/2010-12-08-maryland.html
438,11,2010-12-12,2011,REG,Maryland,Boston College,ACC,75,79,False,,7,4,L 1,Comcast Center,437,https://www.sports-reference.com/cbb/boxscores/2010-12-12-maryland.html
439,12,2010-12-22,2011,REG,Maryland,NJIT,GWC,89,50,True,,8,4,W 1,Comcast Center,438,https://www.sports-reference.com/cbb/boxscores/2010-12-22-maryland.html
440,13,2010-12-29,2011,REG,Maryland,North Florida,A-Sun,85,62,True,,9,4,W 2,Comcast Center,439,https://www.sports-reference.com/cbb/boxscores/2010-12-29-maryland.html
441,14,2011-01-04,2011,REG,Maryland,Colgate,Patriot,95,40,True,,10,4,W 3,Comcast Center,440,https://www.sports-reference.com/cbb/boxscores/2011-01-04-maryland.html
442,15,2011-01-09,2011,REG,Maryland,Duke,ACC,64,71,False,,10,5,L 1,Cameron Indoor Stadium,441,https://www.sports-reference.com/cbb/boxscores/2011-01-09-duke.html
443,16,2011-01-12,2011,REG,Maryland,Wake Forest,ACC,74,55,True,,11,5,W 1,Lawrence Joel Coliseum,442,https://www.sports-reference.com/cbb/boxscores/2011-01-12-wake-forest.html
444,17,2011-01-15,2011,REG,Maryland,Villanova,Big East,66,74,False,,11,6,L 1,Wells Fargo Center,443,https://www.sports-reference.com/cbb/boxscores/2011-01-15-villanova.html
445,18,2011-01-20,2011,REG,Maryland,Virginia Tech,ACC,57,74,False,,11,7,L 2,Comcast Center,444,https://www.sports-reference.com/cbb/boxscores/2011-01-20-maryland.html
446,19,2011-01-22,2011,REG,Maryland,Clemson,ACC,79,77,True,,12,7,W 1,Comcast Center,445,https://www.sports-reference.com/cbb/boxscores/2011-01-22-maryland.html
447,20,2011-01-27,2011,REG,Maryland,Virginia,ACC,66,42,True,,13,7,W 2,John Paul Jones Arena,446,https://www.sports-reference.com/cbb/boxscores/2011-01-27-virginia.html
448,21,2011-01-30,2011,REG,Maryland,Georgia Tech,ACC,74,63,True,,14,7,W 3,Alexander Memorial Coliseum,447,https://www.sports-reference.com/cbb/boxscores/2011-01-30-georgia-tech.html
449,22,2011-02-02,2011,REG,Maryland,Duke,ACC,62,80,False,,14,8,L 1,Comcast Center,448,https://www.sports-reference.com/cbb/boxscores/2011-02-02-maryland.html
450,23,2011-02-05,2011,REG,Maryland,Wake Forest,ACC,91,70,True,,15,8,W 1,Comcast Center,449,https://www.sports-reference.com/cbb/boxscores/2011-02-05-maryland.html
451,24,2011-02-09,2011,REG,Maryland,Longwood,Ind,106,52,True,,16,8,W 2,Comcast Center,450,https://www.sports-reference.com/cbb/boxscores/2011-02-09-maryland.html
452,25,2011-02-12,2011,REG,Maryland,Boston College,ACC,72,76,False,,16,9,L 1,Silvio O. Conte Forum,451,https://www.sports-reference.com/cbb/boxscores/2011-02-12-boston-college.html
453,26,2011-02-15,2011,REG,Maryland,Virginia Tech,ACC,83,91,False,,16,10,L 2,Cassell Coliseum,452,https://www.sports-reference.com/cbb/boxscores/2011-02-15-virginia-tech.html
454,27,2011-02-20,2011,REG,Maryland,North Carolina State,ACC,87,80,True,,17,10,W 1,Comcast Center,453,https://www.sports-reference.com/cbb/boxscores/2011-02-20-maryland.html
455,28,2011-02-23,2011,REG,Maryland,Florida State,ACC,78,62,True,,18,10,W 2,Comcast Center,454,https://www.sports-reference.com/cbb/boxscores/2011-02-23-maryland.html
456,29,2011-02-27,2011,REG,Maryland,North Carolina,ACC,76,87,False,,18,11,L 1,Dean Smith Center,455,https://www.sports-reference.com/cbb/boxscores/2011-02-27-north-carolina.html
457,30,2011-03-02,2011,REG,Maryland,Miami (FL),ACC,66,80,False,,18,12,L 2,BankUnited Center,456,https://www.sports-reference.com/cbb/boxscores/2011-03-02-miami-fl.html
458,31,2011-03-05,2011,REG,Maryland,Virginia,ACC,60,74,False,,18,13,L 3,Comcast Center,457,https://www.sports-reference.com/cbb/boxscores/2011-03-05-maryland.html
459,32,2011-03-10,2011,CTOURN,Maryland,North Carolina State,ACC,75,67,True,,19,13,W 1,,458,https://www.sports-reference.com/cbb/boxscores/2011-03-10-maryland.html
460,33,2011-03-11,2011,CTOURN,Maryland,Duke,ACC,71,87,False,,19,14,L 1,,459,https://www.sports-reference.com/cbb/boxscores/2011-03-11-duke.html
461,1,2011-11-13,2012,REG,Maryland,North Carolina-Wilmington,CAA,71,62,True,,1,0,W 1,Comcast Center,460,https://www.sports-reference.com/cbb/boxscores/2011-11-13-maryland.html
462,2,2011-11-17,2012,REG,Maryland,Alabama,SEC,42,62,False,,1,1,L 1,Jos̩ Miguel Agrelot Coliseum,461,https://www.sports-reference.com/cbb/boxscores/2011-11-17-alabama.html
463,3,2011-11-18,2012,REG,Maryland,Colorado,Pac-12,78,71,True,,2,1,W 1,Jos̩ Miguel Agrelot Coliseum,462,https://www.sports-reference.com/cbb/boxscores/2011-11-18-colorado.html
464,4,2011-11-20,2012,REG,Maryland,Iona,MAAC,63,89,False,,2,2,L 1,Jos̩ Miguel Agrelot Coliseum,463,https://www.sports-reference.com/cbb/boxscores/2011-11-20-iona.html
465,5,2011-11-25,2012,REG,Maryland,Florida Gulf Coast,A-Sun,73,67,True,,3,2,W 1,Comcast Center,464,https://www.sports-reference.com/cbb/boxscores/2011-11-25-maryland.html
466,6,2011-11-29,2012,REG,Maryland,Illinois,Big Ten,62,71,False,,3,3,L 1,Comcast Center,465,https://www.sports-reference.com/cbb/boxscores/2011-11-29-maryland.html
467,7,2011-12-04,2012,REG,Maryland,Notre Dame,Big East,78,71,True,,4,3,W 1,,466,https://www.sports-reference.com/cbb/boxscores/2011-12-04-maryland.html
468,8,2011-12-07,2012,REG,Maryland,Mount St. Mary's,NEC,77,74,True,,5,3,W 2,Comcast Center,467,https://www.sports-reference.com/cbb/boxscores/2011-12-07-maryland.html
469,9,2011-12-14,2012,REG,Maryland,Florida International,Sun Belt,65,61,True,,6,3,W 3,Comcast Center,468,https://www.sports-reference.com/cbb/boxscores/2011-12-14-maryland.html
470,10,2011-12-23,2012,REG,Maryland,Radford,Big South,65,60,True,,7,3,W 4,Comcast Center,469,https://www.sports-reference.com/cbb/boxscores/2011-12-23-maryland.html
471,11,2011-12-28,2012,REG,Maryland,Albany (NY),AEC,83,72,True,,8,3,W 5,Comcast Center,470,https://www.sports-reference.com/cbb/boxscores/2011-12-28-maryland.html
472,12,2011-12-31,2012,REG,Maryland,Samford,Southern,75,63,True,,9,3,W 6,Comcast Center,471,https://www.sports-reference.com/cbb/boxscores/2011-12-31-maryland.html
473,13,2012-01-03,2012,REG,Maryland,Cornell,Ivy,70,62,True,,10,3,W 7,Comcast Center,472,https://www.sports-reference.com/cbb/boxscores/2012-01-03-maryland.html
474,14,2012-01-08,2012,REG,Maryland,North Carolina State,ACC,74,79,False,,10,4,L 1,RBC Center,473,https://www.sports-reference.com/cbb/boxscores/2012-01-08-north-carolina-state.html
475,15,2012-01-11,2012,REG,Maryland,Wake Forest,ACC,70,64,True,,11,4,W 1,Comcast Center,474,https://www.sports-reference.com/cbb/boxscores/2012-01-11-maryland.html
476,16,2012-01-15,2012,REG,Maryland,Georgia Tech,ACC,61,50,True,,12,4,W 2,Comcast Center,475,https://www.sports-reference.com/cbb/boxscores/2012-01-15-maryland.html
477,17,2012-01-17,2012,REG,Maryland,Florida State,ACC,70,84,False,,12,5,L 1,Donald L. Tucker Center,476,https://www.sports-reference.com/cbb/boxscores/2012-01-17-florida-state.html
478,18,2012-01-21,2012,REG,Maryland,Temple,A-10,60,73,False,,12,6,L 2,,477,https://www.sports-reference.com/cbb/boxscores/2012-01-21-maryland.html
479,19,2012-01-25,2012,REG,Maryland,Duke,ACC,61,74,False,,12,7,L 3,Comcast Center,478,https://www.sports-reference.com/cbb/boxscores/2012-01-25-maryland.html
480,20,2012-01-28,2012,REG,Maryland,Virginia Tech,ACC,73,69,True,,13,7,W 1,Comcast Center,479,https://www.sports-reference.com/cbb/boxscores/2012-01-28-maryland.html
481,21,2012-02-01,2012,REG,Maryland,Miami (FL),ACC,86,90,False,2OT,13,8,L 1,BankUnited Center,480,https://www.sports-reference.com/cbb/boxscores/2012-02-01-miami-fl.html
482,22,2012-02-04,2012,REG,Maryland,North Carolina,ACC,74,83,False,,13,9,L 2,Comcast Center,481,https://www.sports-reference.com/cbb/boxscores/2012-02-04-maryland.html
483,23,2012-02-07,2012,REG,Maryland,Clemson,ACC,64,62,True,,14,9,W 1,Littlejohn Coliseum,482,https://www.sports-reference.com/cbb/boxscores/2012-02-07-clemson.html
484,24,2012-02-11,2012,REG,Maryland,Duke,ACC,55,73,False,,14,10,L 1,Cameron Indoor Stadium,483,https://www.sports-reference.com/cbb/boxscores/2012-02-11-duke.html
485,25,2012-02-16,2012,REG,Maryland,Boston College,ACC,81,65,True,,15,10,W 1,Comcast Center,484,https://www.sports-reference.com/cbb/boxscores/2012-02-16-maryland.html
486,26,2012-02-18,2012,REG,Maryland,Virginia,ACC,44,71,False,,15,11,L 1,John Paul Jones Arena,485,https://www.sports-reference.com/cbb/boxscores/2012-02-18-virginia.html
487,27,2012-02-21,2012,REG,Maryland,Miami (FL),ACC,75,70,True,,16,11,W 1,Comcast Center,486,https://www.sports-reference.com/cbb/boxscores/2012-02-21-maryland.html
488,28,2012-02-25,2012,REG,Maryland,Georgia Tech,ACC,61,63,False,,16,12,L 1,Philips Arena,487,https://www.sports-reference.com/cbb/boxscores/2012-02-25-georgia-tech.html
489,29,2012-02-29,2012,REG,Maryland,North Carolina,ACC,64,88,False,,16,13,L 2,Dean Smith Center,488,https://www.sports-reference.com/cbb/boxscores/2012-02-29-north-carolina.html
490,30,2012-03-04,2012,REG,Maryland,Virginia,ACC,72,75,False,OT,16,14,L 3,Comcast Center,489,https://www.sports-reference.com/cbb/boxscores/2012-03-04-maryland.html
491,31,2012-03-08,2012,CTOURN,Maryland,Wake Forest,ACC,82,60,True,,17,14,W 1,,490,https://www.sports-reference.com/cbb/boxscores/2012-03-08-maryland.html
492,32,2012-03-09,2012,CTOURN,Maryland,North Carolina,ACC,69,85,False,,17,15,L 1,Philips Arena,491,https://www.sports-reference.com/cbb/boxscores/2012-03-09-maryland.html
493,1,2012-11-09,2013,REG,Maryland,Kentucky,SEC,69,72,False,,0,1,L 1,Barclays Center,492,https://www.sports-reference.com/cbb/boxscores/2012-11-09-kentucky.html
494,2,2012-11-12,2013,REG,Maryland,Morehead State,OVC,67,45,True,,1,1,W 1,Comcast Center,493,https://www.sports-reference.com/cbb/boxscores/2012-11-12-maryland.html
495,3,2012-11-16,2013,REG,Maryland,Long Island University,NEC,91,74,True,,2,1,W 2,Comcast Center,494,https://www.sports-reference.com/cbb/boxscores/2012-11-16-maryland.html
496,4,2012-11-20,2013,REG,Maryland,Lafayette,Patriot,83,74,True,,3,1,W 3,Comcast Center,495,https://www.sports-reference.com/cbb/boxscores/2012-11-20-maryland.html
497,5,2012-11-24,2013,REG,Maryland,Georgia Southern,Southern,70,53,True,,4,1,W 4,Comcast Center,496,https://www.sports-reference.com/cbb/boxscores/2012-11-24-maryland.html
498,6,2012-11-27,2013,REG,Maryland,Northwestern,Big Ten,77,57,True,,5,1,W 5,Welsh-Ryan Arena,497,https://www.sports-reference.com/cbb/boxscores/2012-11-27-northwestern.html
499,7,2012-12-02,2013,REG,Maryland,George Mason,CAA,69,62,True,,6,1,W 6,Verizon Center,498,https://www.sports-reference.com/cbb/boxscores/2012-12-02-george-mason.html
500,8,2012-12-05,2013,REG,Maryland,Maryland-Eastern Shore,MEAC,100,68,True,,7,1,W 7,Comcast Center,499,https://www.sports-reference.com/cbb/boxscores/2012-12-05-maryland.html
501,9,2012-12-08,2013,REG,Maryland,South Carolina State,MEAC,61,46,True,,8,1,W 8,Comcast Center,500,https://www.sports-reference.com/cbb/boxscores/2012-12-08-maryland.html
502,10,2012-12-12,2013,REG,Maryland,Monmouth,NEC,71,38,True,,9,1,W 9,Comcast Center,501,https://www.sports-reference.com/cbb/boxscores/2012-12-12-maryland.html
503,11,2012-12-21,2013,REG,Maryland,Stony Brook,AEC,76,69,True,,10,1,W 10,Comcast Center,502,https://www.sports-reference.com/cbb/boxscores/2012-12-21-maryland.html
504,12,2012-12-29,2013,REG,Maryland,Delaware State,MEAC,79,50,True,,11,1,W 11,Comcast Center,503,https://www.sports-reference.com/cbb/boxscores/2012-12-29-maryland.html
505,13,2013-01-01,2013,REG,Maryland,IUPUI,Summit,81,63,True,,12,1,W 12,Comcast Center,504,https://www.sports-reference.com/cbb/boxscores/2013-01-01-maryland.html
506,14,2013-01-05,2013,REG,Maryland,Virginia Tech,ACC,94,71,True,,13,1,W 13,Comcast Center,505,https://www.sports-reference.com/cbb/boxscores/2013-01-05-maryland.html
507,15,2013-01-09,2013,REG,Maryland,Florida State,ACC,62,65,False,,13,2,L 1,Comcast Center,506,https://www.sports-reference.com/cbb/boxscores/2013-01-09-maryland.html
508,16,2013-01-13,2013,REG,Maryland,Miami (FL),ACC,47,54,False,,13,3,L 2,BankUnited Center,507,https://www.sports-reference.com/cbb/boxscores/2013-01-13-miami-fl.html
509,17,2013-01-16,2013,REG,Maryland,North Carolina State,ACC,51,50,True,,14,3,W 1,Comcast Center,508,https://www.sports-reference.com/cbb/boxscores/2013-01-16-maryland.html
510,18,2013-01-19,2013,REG,Maryland,North Carolina,ACC,52,62,False,,14,4,L 1,Dean Smith Center,509,https://www.sports-reference.com/cbb/boxscores/2013-01-19-north-carolina.html
511,19,2013-01-22,2013,REG,Maryland,Boston College,ACC,64,59,True,,15,4,W 1,Comcast Center,510,https://www.sports-reference.com/cbb/boxscores/2013-01-22-maryland.html
512,20,2013-01-26,2013,REG,Maryland,Duke,ACC,64,84,False,,15,5,L 1,Cameron Indoor Stadium,511,https://www.sports-reference.com/cbb/boxscores/2013-01-26-duke.html
513,21,2013-01-30,2013,REG,Maryland,Florida State,ACC,71,73,False,,15,6,L 2,Donald L. Tucker Center,512,https://www.sports-reference.com/cbb/boxscores/2013-01-30-florida-state.html
514,22,2013-02-02,2013,REG,Maryland,Wake Forest,ACC,86,60,True,,16,6,W 1,Comcast Center,513,https://www.sports-reference.com/cbb/boxscores/2013-02-02-maryland.html
515,23,2013-02-07,2013,REG,Maryland,Virginia Tech,ACC,60,55,True,,17,6,W 2,Cassell Coliseum,514,https://www.sports-reference.com/cbb/boxscores/2013-02-07-virginia-tech.html
516,24,2013-02-10,2013,REG,Maryland,Virginia,ACC,69,80,False,,17,7,L 1,Comcast Center,515,https://www.sports-reference.com/cbb/boxscores/2013-02-10-maryland.html
517,25,2013-02-16,2013,REG,Maryland,Duke,ACC,83,81,True,,18,7,W 1,Comcast Center,516,https://www.sports-reference.com/cbb/boxscores/2013-02-16-maryland.html
518,26,2013-02-19,2013,REG,Maryland,Boston College,ACC,58,69,False,,18,8,L 1,Silvio O. Conte Forum,517,https://www.sports-reference.com/cbb/boxscores/2013-02-19-boston-college.html
